IDATfile	Group	Sample
GSM813511	Lung adenocarcinoma	X3030_T
GSM813512	Adjacent non-tumor lung tissue	X3031_N
GSM813513	Lung adenocarcinoma	X3031_T
GSM813514	Adjacent non-tumor lung tissue	X3032_N
GSM813515	Lung adenocarcinoma	X3032_T
GSM813516	Adjacent non-tumor lung tissue	X3033_N
GSM813517	Lung adenocarcinoma	X3033_T
GSM813518	Adjacent non-tumor lung tissue	X3035_N
GSM813519	Adjacent non-tumor lung tissue	X3036_N
GSM813520	Lung adenocarcinoma	X3036_T
GSM813521	Adjacent non-tumor lung tissue	X3039_N
GSM813522	Lung adenocarcinoma	X3039_T
GSM813523	Adjacent non-tumor lung tissue	L15_N
GSM813524	Lung adenocarcinoma	L15_T
GSM813525	Adjacent non-tumor lung tissue	L2_N
GSM813526	Lung adenocarcinoma	L2_T
