ID,Probe_Id,Definition,Ontology_Component,Ontology_Process,Ontology_Function,Chromosome,Probe_Coordinates,Cytoband,Probe_Chr_Orientation,RefSeq_ID,Entrez_Gene_ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
XLKD1,ILMN_1808114,"Homo sapiens extracellular link domain containing 1 (XLKD1), mRNA.",membrane fraction [goid 5624] [pmid 10037799] [evidence TAS]; integral to plasma membrane [goid 5887] [pmid 10037799] [evidence TAS],cell-matrix adhesion [goid 7160] [pmid 10037799] [evidence TAS]; morphogenesis [goid 9653] [pmid 10037799] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; response to wounding [goid 9611] [pmid 10037799] [evidence TAS]; cell motility [goid 6928] [pmid 10037799] [evidence TAS],hyaluronic acid binding [goid 5540] [evidence IEA]; receptor activity [goid 4872] [pmid 10037799] [evidence TAS],11,10536730-10536779,11p15.4a,-,NM_006691.2,10894,XLKD1,-3.939404208631313,7.265088177198613,-27.985859284379988,3.7644233787465285e-54,6.668162684988737e-51,112.92782097349003
LOC653463,ILMN_1766832,"PREDICTED: Homo sapiens similar to hypothetical gene supported by AK127120 (LOC653463), mRNA.",,,,6,167810570-167810619,,-,XM_376558.2,653463,LOC653463,-6.504842762707097,8.75360134898066,-27.717177616317414,1.0189432980278499e-53,1.6545091801727212e-50,111.94279934408192
STX11,ILMN_1720771,"Homo sapiens syntaxin 11 (STX11), mRNA.",membrane [goid 16020] [evidence IEA]; Golgi stack [goid 5795] [evidence IEA],intracellular protein transport [goid 6886] [evidence IEA]; membrane fusion [goid 6944] [pmid 9553086] [evidence TAS],protein transporter activity [goid 8565] [evidence IEA]; protein binding [goid 5515] [pmid 16169070] [evidence IPI]; SNAP receptor activity [goid 5484] [pmid 9553086] [evidence TAS],6,144550749-144550798,6q24.2b,+,NM_003764.2,8676,STX11,-3.1517993758505307,8.63810090843216,-27.195212093560123,7.196683578910967e-53,1.016950428658187e-49,110.00824908821788
RGC32,ILMN_1658494,"Homo sapiens response gene to complement 32 (RGC32), mRNA.",cytoplasm [goid 5737] [pmid 9756947] [evidence TAS],,,13,40942716-40942765,13q14.11b,+,NM_014059.1,28984,RGC32,-2.7324117125216443,12.737182138016346,-27.191185659316655,7.306803182558182e-53,1.016950428658187e-49,109.9932173417356
CLEC1A,ILMN_1691339,"Homo sapiens C-type lectin domain family 1, member A (CLEC1A), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,sugar binding [goid 5529] [evidence IEA],12,10114650-10114699,12p13.2c,-,NM_016511.2,51267,CLEC1A,-2.629547662029328,7.477394247140404,-26.88942857437935,2.290908277506083e-52,2.975889852480402e-49,108.86189392918307
ETV4,ILMN_1753830,"Homo sapiens ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), mRNA.",nucleus [goid 5634] [evidence NAS]; nucleus [goid 5634] [evidence NAS],"regulation of transcription, DNA-dependent [goid 6355] [evidence NAS]; transcription [goid 6350] [evidence IEA]; regulation of transcription, DNA-dependent [goid 6355] [evidence NAS]; transcription [goid 6350] [evidence IEA]",transcriptional activator activity [goid 16563] [evidence NAS]; sequence-specific DNA binding [goid 43565] [evidence IEA]; transcription factor activity [goid 3700] [evidence IEA]; transcriptional activator activity [goid 16563] [evidence NAS]; transcription factor activity [goid 3700] [evidence IEA]; sequence-specific DNA binding [goid 43565] [evidence IEA],17,38961026-38961075,17q21.31b,-,NM_001986.1,2118,ETV4,3.5275855993912764,7.008971000965266,26.578560565289,7.507314346045224e-52,9.1425012520432e-49,107.6864606213271
EDG1,ILMN_1653504,"Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 (EDG1), mRNA.",integral to plasma membrane [goid 5887] [evidence NR ]; plasma membrane [goid 5886] [pmid 8626678] [evidence TAS],signal transduction [goid 7165] [evidence IEA]; G-protein coupled receptor protein signaling pathway [goid 7186] [pmid 8626678] [evidence TAS]; cell adhesion [goid 7155] [pmid 10555146] [evidence TAS],lysosphingolipid and lysophosphatidic acid receptor activity [goid 1619] [evidence IEA]; receptor activity [goid 4872] [evidence IEA],1,101478843-101478892,1p21.2a,+,NM_001400.2,1901,EDG1,-2.6545478047822275,7.982363885179389,-26.060419499385343,5.550095082127867e-51,6.111846378460644e-48,105.7045326359925
RHOJ,ILMN_1678215,"Homo sapiens ras homolog gene family, member J (RHOJ), mRNA.",intracellular [goid 5622] [evidence IEA]; membrane [goid 16020] [evidence IEA]; intracellular [goid 5622] [evidence IEA]; membrane [goid 16020] [evidence IEA],small GTPase mediated signal transduction [goid 7264] [evidence IEA]; actin cytoskeleton organization and biogenesis [goid 30036] [pmid 10967094] [evidence IMP]; regulation of cell shape [goid 8360] [evidence IEA]; small GTPase mediated signal transduction [goid 7264] [evidence IEA]; actin cytoskeleton organization and biogenesis [goid 30036] [pmid 10967094] [evidence IMP]; regulation of cell shape [goid 8360] [evidence IEA],protein binding [goid 5515] [evidence ISS]; GTP binding [goid 5525] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; GTPase activity [goid 3924] [pmid 10967094] [evidence NAS]; protein binding [goid 5515] [evidence ISS]; GTP binding [goid 5525] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; GTPase activity [goid 3924] [pmid 10967094] [evidence NAS],14,62827799-62827848,14q23.2b,+,NM_020663.2,57381,RHOJ,-2.4508209768642057,7.232198917476279,-26.0560111833029,5.646047462781195e-51,6.111846378460644e-48,105.68754713002724
JAM2,ILMN_1672350,"Homo sapiens junctional adhesion molecule 2 (JAM2), mRNA.",integral to plasma membrane [goid 5887] [pmid 10779521] [evidence NAS]; membrane [goid 16020] [evidence IEA]; tight junction [goid 5923] [evidence IEA],cell-cell adhesion [goid 16337] [pmid 10779521] [evidence NAS],,21,26000188-26000237,21q21.3a,+,NM_021219.2,58494,JAM2,-2.8081341037011978,8.110777393626616,-25.998539506111072,7.061148357830742e-51,7.241393460649054e-48,105.46591348414685
PLAC9,ILMN_1790859,"Homo sapiens placenta-specific 9 (PLAC9), mRNA.",,,,10,81891873-81891915:81893959-81893965,10q22.3f,+,NM_001012973.1,219348,PLAC9,-3.6232965586063237,9.753504907382112,-25.93055552554894,9.203814912162621e-51,8.966816678174433e-48,105.20327942642777
PECAM1,ILMN_1689518,"Homo sapiens platelet/endothelial cell adhesion molecule (CD31 antigen) (PECAM1), mRNA.",intercellular junction [goid 5911] [evidence NR ]; integral to membrane [goid 16021] [evidence IEA]; plasma membrane [goid 5886] [pmid 1690453] [evidence TAS],signal transduction [goid 7165] [pmid 7994021] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; cell recognition [goid 8037] [pmid 1690453] [evidence TAS]; cell motility [goid 6928] [evidence NR ],protein binding [goid 5515] [evidence IEA],17,59754528-59754577,17q23.3b,-,NM_000442.2,5175,PECAM1,-2.434314269793761,10.509744429342646,-25.890678299417257,1.0754151586292432e-50,9.978316364709906e-48,105.04899384900826
MME,ILMN_1678170,"Homo sapiens membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10) (MME), transcript variant 2a, mRNA.",integral to plasma membrane [goid 5887] [pmid 2521388] [evidence TAS]; plasma membrane [goid 5886] [pmid 1660144] [evidence TAS],cell-cell signaling [goid 7267] [pmid 2521388] [evidence TAS],neprilysin activity [goid 4245] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; metallopeptidase activity [goid 8237] [pmid 1660144] [evidence TAS]; zinc ion binding [goid 8270] [evidence IEA],3,156383599-156383648,3q25.2c-q25.31a,+,NM_007288.1,4311,MME,-3.7620424919486553,7.769987584279517,-25.82092803243774,1.4125613762999882e-50,1.251079928054785e-47,104.77871418539053
GIMAP6,ILMN_2329429,"Homo sapiens GTPase, IMAP family member 6 (GIMAP6), transcript variant 3, mRNA.",,,GTP binding [goid 5525] [evidence IEA],7,149954104-149954153,7q36.1c,-,NM_001007224.1,474344,GIMAP6,-2.8151415240242574,8.988012714035134,-25.62791744770474,3.012289168246909e-50,2.5519328018822184e-47,104.02804379207288
LDB2,ILMN_1800697,"Homo sapiens LIM domain binding 2 (LDB2), mRNA.",nucleus [goid 5634] [evidence IEA],development [goid 7275] [evidence IEA],transcription cofactor activity [goid 3712] [pmid 9880598] [evidence TAS],4,16112426-16112475,4p15.32c,-,NM_001290.2,9079,LDB2,-2.8610160026406906,10.476511351664042,-25.215117191030703,1.5421545630417274e-49,1.2520367358695024e-46,102.4088228156946
SPOCK2,ILMN_1656287,"Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 (SPOCK2), mRNA.",extracellular matrix (sensu Metazoa) [goid 5578] [pmid 10386950] [evidence NAS],extracellular matrix organization and biogenesis [goid 30198] [pmid 10386950] [evidence NAS]; synaptogenesis [goid 7416] [pmid 10386950] [evidence NAS]; regulation of cell differentiation [goid 45595] [pmid 10386950] [evidence NAS],calcium ion binding [goid 5509] [pmid 10386950] [evidence IDA],10,73488877-73488926,10q22.1e,-,NM_014767.1,9806,SPOCK2,-3.1256622816586397,11.36034762469966,-25.050150384016323,2.977123546211299e-49,2.3203700919170864e-46,101.75645484701076
CA4,ILMN_1695157,"Homo sapiens carbonic anhydrase IV (CA4), mRNA.",membrane fraction [goid 5624] [pmid 6811592] [evidence TAS]; membrane [goid 16020] [evidence IEA],visual perception [goid 7601] [evidence IEA]; one-carbon compound metabolism [goid 6730] [evidence IEA],carbonate dehydratase activity [goid 4089] [pmid 1311094] [evidence TAS]; lyase activity [goid 16829] [evidence IEA]; GPI anchor binding [goid 48503] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA],17,55591584-55591633,17q23.1a,+,NM_000717.2,762,CA4,-5.160738648856259,9.287912616172918,-24.591909324436724,1.8798268481843635e-48,1.4087856206489354e-45,99.92830553218425
TEK,ILMN_1751576,"Homo sapiens TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal) (TEK), mRNA.",integral to plasma membrane [goid 5887] [pmid 8382358] [evidence TAS],cell-cell signaling [goid 7267] [pmid 8980225] [evidence TAS]; signal transduction [goid 7165] [pmid 8382358] [evidence TAS]; transmembrane receptor protein tyrosine kinase signaling pathway [goid 7169] [pmid 8980225] [evidence TAS]; protein amino acid phosphorylation [goid 6468] [evidence IEA],nucleotide binding [goid 166] [evidence IEA]; kinase activity [goid 16301] [evidence IEA]; transmembrane receptor protein tyrosine kinase activity [goid 4714] [pmid 8382358] [evidence TAS]; receptor activity [goid 4872] [pmid 10766762] [evidence TAS]; transferase activity [goid 16740] [evidence IEA]; protein serine/threonine kinase activity [goid 4674] [evidence IEA]; ATP binding [goid 5524] [evidence IEA],9,27219803-27219852,9p21.2a,+,NM_000459.1,7010,TEK,-3.5024982755506375,8.7721436431167,-24.53553274765784,2.3619787582415882e-48,1.7045613371976793e-45,99.70175166593741
MMRN1,ILMN_1660114,"Homo sapiens multimerin 1 (MMRN1), mRNA.",,blood coagulation [goid 7596] [pmid 9189649] [evidence TAS]; cell adhesion [goid 7155] [pmid 9189649] [evidence TAS],,4,91094532-91094581,4q22.1d,+,NM_007351.2,22915,MMRN1,-3.6018485496379897,7.642208724642198,-24.46076947417047,3.198972545411425e-48,2.226142144547915e-45,99.40075143033086
MFAP4,ILMN_1766914,"Homo sapiens microfibrillar-associated protein 4 (MFAP4), mRNA.",microfibril [goid 1527] [pmid 7633408] [evidence NAS]; extracellular matrix (sensu Metazoa) [goid 5578] [evidence IEA],cell adhesion [goid 7155] [evidence NAS],calcium ion binding [goid 5509] [evidence IEA]; protein binding [goid 5515] [evidence IEA],17,19227463-19227512,17p11.2e,-,NM_002404.1,4239,MFAP4,-3.3244675305469364,11.821231335298462,-24.394065651148118,4.195392781301287e-48,2.818869942884675e-45,99.1316607118284
HBB,ILMN_2100437,"Homo sapiens hemoglobin, beta (HBB), mRNA.",hemoglobin complex [goid 5833] [pmid 10588683] [evidence NAS],transport [goid 6810] [evidence IEA]; positive regulation of nitric oxide biosynthesis [goid 45429] [pmid 7965120] [evidence NAS]; oxygen transport [goid 15671] [pmid 11747442] [evidence NAS],hemoglobin binding [goid 30492] [pmid 1512262] [evidence IDA]; heme binding [goid 20037] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; oxygen transporter activity [goid 5344] [pmid 11747442] [evidence NAS]; iron ion binding [goid 5506] [evidence IEA]; selenium binding [goid 8430] [pmid 15780970] [evidence IDA]; oxygen binding [goid 19825] [pmid 11747442] [evidence IDA],11,5203383-5203403:5203404-5203432,11p15.4c,-,NM_000518.4,3043,HBB,-4.290450655229169,12.749002634466946,-23.89520469499321,3.238686238275902e-47,2.0768292829600157e-44,97.10299316055689
C20orf160,ILMN_1748206,"Homo sapiens chromosome 20 open reading frame 160 (C20orf160), mRNA.",,,,20,30083460-30083509,20q11.21b,+,NM_080625.2,140706,C20orf160,-2.8390915640855043,8.030340895306107,-23.890352533532553,3.3041677070444186e-47,2.0768292829600157e-44,97.0831200900493
MCEMP1,ILMN_1762713,"Homo sapiens mast cell-expressed membrane protein 1 (MCEMP1), mRNA.",,,,19,7650532-7650581,19p13.2e,+,NM_174918.1,199675,MCEMP1,-4.780200624987371,10.112051867705341,-23.83483515196989,4.1553795061629607e-47,2.53023655242454e-44,96.85554181185158
CDO1,ILMN_1753931,"Homo sapiens cysteine dioxygenase, type I (CDO1), mRNA.",,L-cysteine metabolism [goid 46439] [evidence IEA],electron transporter activity [goid 5489] [evidence NR ]; cysteine dioxygenase activity [goid 17172] [evidence IEA]; oxidoreductase activity [goid 16491] [evidence IEA]; iron ion binding [goid 5506] [evidence IEA],5,115169008-115169028:115169029-115169057,5q22.3b,-,NM_001801.2,1036,CDO1,-2.878165216516182,6.779044971304823,-23.568592332769455,1.2535373352758603e-46,7.401568175106103e-44,95.75915321872051
FHL1,ILMN_1805842,"Homo sapiens four and a half LIM domains 1 (FHL1), mRNA.",nucleus [goid 5634] [evidence IEA],cell differentiation [goid 30154] [evidence IEA]; cell growth [goid 16049] [evidence NAS]; muscle development [goid 7517] [pmid 7626119] [evidence NAS],zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA],X,135120766-135120815,Xq26.3b,+,NM_001449.3,2273,FHL1,-3.2590401377129075,8.819233927162683,-23.45759269859561,1.9911355160575766e-46,1.1410963391288788e-43,95.29960167191217
C2orf32,ILMN_2182148,"Homo sapiens chromosome 2 open reading frame 32 (C2orf32), mRNA.",,,protein binding [goid 5515] [pmid 16696853] [evidence IPI],2,68374157-68374206,2p14a,-,NM_015463.1,25927,C2orf32,-2.4889784989419006,6.830443853704767,-23.34468020600334,3.1927210826546796e-46,1.7774334370150408e-43,94.83064095512636
ABCA8,ILMN_1796801,"Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 8 (ABCA8), mRNA.",,,ATPase activity [goid 16887] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; ATP binding [goid 5524] [evidence IEA],17,64375585-64375634,17q24.2c,-,NM_007168.2,10351,ABCA8,-1.7893748960790905,6.7658713059088695,-23.21652052856646,5.466237320845711e-46,2.9586009499077413e-43,94.29652690641694
GHR,ILMN_1775814,"Homo sapiens growth hormone receptor (GHR), mRNA.",integral to plasma membrane [goid 5887] [pmid 2825030] [evidence TAS]; membrane [goid 16020] [evidence IEA],skeletal development [goid 1501] [pmid 9140387] [evidence TAS]; endocytosis [goid 6897] [evidence IEA]; growth [goid 40007] [pmid 9140387] [evidence TAS],receptor activity [goid 4872] [evidence IEA]; growth hormone receptor activity [goid 4903] [pmid 9140387] [evidence TAS]; protein binding [goid 5515] [pmid 10866662] [evidence IPI],5,42757566-42757615,5p12c,+,NM_000163.2,2690,GHR,-2.593712511603207,7.0222511977682736,-23.14994620604906,7.233103343773224e-46,3.809108612254629e-43,94.01830491765155
CD36,ILMN_1665132,"Homo sapiens CD36 molecule (thrombospondin receptor) (CD36), transcript variant 2, mRNA.",membrane [goid 16020] [evidence IEA]; integral to plasma membrane [goid 5887] [pmid 2468669] [evidence TAS]; membrane fraction [goid 5624] [pmid 2468669] [evidence TAS],fatty acid metabolism [goid 6631] [evidence NR ]; lipid metabolism [goid 6629] [pmid 7518447] [evidence NAS]; cell adhesion [goid 7155] [pmid 2468670] [evidence TAS]; blood coagulation [goid 7596] [pmid 2468670] [evidence TAS]; transport [goid 6810] [evidence IEA],protein binding [goid 5515] [evidence IEA]; receptor activity [goid 4872] [evidence IEA],7,80069574-80069623,7q21.11c,+,NM_001001547.1,948,CD36,-3.228016263485543,7.534369052875791,-22.936666283725998,1.7803898457015253e-45,9.129183195656374e-43,93.12342777960411
ADH1A,ILMN_1764309,"Homo sapiens alcohol dehydrogenase 1A (class I), alpha polypeptide (ADH1A), mRNA.",cytoplasm [goid 5737] [evidence NAS],alcohol metabolism [goid 6066] [pmid 2347582] [evidence NAS],"zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; oxidoreductase activity [goid 16491] [evidence IEA]; alcohol dehydrogenase activity, zinc-dependent [goid 4024] [pmid 2935875] [evidence NAS]",4,100416746-100416795,4q23b,-,NM_000667.2,124,ADH1A,-4.350874857775981,10.265454949470259,-22.745566886423497,4.008577590350429e-45,2.0027470345635413e-42,92.31699144905258
ANKRD47,ILMN_1755588,"Homo sapiens ankyrin repeat domain 47 (ANKRD47), mRNA.",,,,19,8295547-8295596,19p13.2d,-,NM_198471.1,256949,ANKRD47,-2.6725431894079446,7.301868790510901,-22.729103529774726,4.299754591912696e-45,2.094517955585472e-42,92.24731105189248
GSTM5,ILMN_1750790,"Homo sapiens glutathione S-transferase M5 (GSTM5), mRNA.",,metabolism [goid 8152] [evidence IEA],transferase activity [goid 16740] [evidence IEA]; glutathione transferase activity [goid 4364] [pmid 8473333] [evidence TAS],1,110062202-110062251,1p13.3b,+,NM_000851.2,2949,GSTM5,-2.282287832511635,6.6596825566922995,-22.67642104665883,5.382541326576162e-45,2.5580199450813784e-42,92.02411547844576
CAV2,ILMN_1658835,"Homo sapiens caveolin 2 (CAV2), transcript variant 1, mRNA.",perinuclear region [goid 48471] [pmid 8552590] [evidence IDA]; integral to plasma membrane [goid 5887] [pmid 8552590] [evidence IDA]; caveolar membrane [goid 16599] [pmid 8552590] [evidence NAS]; lipid raft [goid 45121] [pmid 11294831] [evidence IDA]; perinuclear region [goid 48471] [pmid 8552590] [evidence IDA]; integral to plasma membrane [goid 5887] [pmid 8552590] [evidence IDA]; caveolar membrane [goid 16599] [pmid 8552590] [evidence NAS]; lipid raft [goid 45121] [pmid 11294831] [evidence IDA],,protein binding [goid 5515] [pmid 10212252] [evidence IPI]; protein homodimerization activity [goid 42803] [pmid 8552590] [evidence IDA]; protein binding [goid 5515] [pmid 10212252] [evidence IPI]; protein homodimerization activity [goid 42803] [pmid 8552590] [evidence IDA],7,115935309-115935358,7q31.2b,+,NM_001233.3,858,CAV2,-2.9254107069189734,8.926769268875024,-22.541600738538108,9.577713579570131e-45,4.4433749785220004e-42,91.45140788307475
PYCR1,ILMN_1715178,"Homo sapiens pyrroline-5-carboxylate reductase 1 (PYCR1), transcript variant 1, mRNA.",,proline biosynthesis [goid 6561] [pmid 1730675] [evidence TAS]; amino acid biosynthesis [goid 8652] [evidence IEA]; electron transport [goid 6118] [evidence IEA],oxidoreductase activity [goid 16491] [evidence IEA]; pyrroline-5-carboxylate reductase activity [goid 4735] [pmid 1730675] [evidence TAS],17,77484213-77484262,17q25.3g,-,NM_006907.2,5831,PYCR1,1.3483718963904758,6.244257831440324,22.527252136965508,1.0184812615711555e-44,4.6151412515613876e-42,91.39032659258154
F10,ILMN_1670708,"Homo sapiens coagulation factor X (F10), mRNA.",extracellular region [goid 5576] [pmid 14718574] [evidence NAS],blood coagulation [goid 7596] [pmid 6587384] [evidence TAS],peptidase activity [goid 8233] [evidence IEA]; calcium ion binding [goid 5509] [evidence IEA]; coagulation factor Xa activity [goid 3804] [pmid 3011603] [evidence TAS],13,112851631-112851680,13q34c,+,NM_000504.2,2159,F10,-2.1616219935398107,6.745354928503656,-22.491787991321857,1.1856836167639443e-44,5.250692107419421e-42,91.23925049072908
SH3GL3,ILMN_1760990,"Homo sapiens SH3-domain GRB2-like 3 (SH3GL3), mRNA.",cytoplasm [goid 5737] [evidence IEA],signal transduction [goid 7165] [pmid 9169142] [evidence TAS]; central nervous system development [goid 7417] [pmid 9169142] [evidence TAS],,15,82078094-82078143,15q25.2b,+,NM_003027.2,6457,SH3GL3,-2.7122629239898144,6.247650174558429,-22.405043410032174,1.720741970548686e-44,7.450812732475811e-42,90.86907863831465
